Rank,Player,Pos,PosRank
1, Saquon Barkley,RB,1
2, Ezekiel Elliott,RB,2
3, Alvin Kamara,RB,3
4, Christian McCaffrey,RB,4
5, David Johnson,RB,5
6, DeAndre Hopkins,WR,1
7, Davante Adams,WR,2
8, Todd Gurley II,RB,6
9, Tyreek Hill,WR,3
10, Michael Thomas,WR,4
11, Julio Jones,WR,5
12, Odell Beckham Jr,WR,6
13, JuJu Smith-Schuster,WR,7
14, Le'Veon Bell,RB,7
15, Joe Mixon,RB,8
16, James Conner,RB,9
17, Nick Chubb,RB,10
18, Travis Kelce,TE,1
19, Mike Evans,WR,8
20, Antonio Brown,WR,9
21, Keenan Allen,WR,10
22, Dalvin Cook,RB,11
23, Derrick Henry,RB,12
24, Devonta Freeman,RB,13
25, Kerryon Johnson,RB,14
26, Josh Jacobs,RB,15
27, Amari Cooper,WR,11
28, Julian Edelman,WR,12
29, George Kittle,TE,2
30, Zach Ertz,TE,3
31, Chris Carson,RB,16
32, Leonard Fournette,RB,17
33, Aaron Jones,RB,18
34, Sony Michel,RB,19
35, David Montgomery,RB,20
36, Brandin Cooks,WR,13
37, Adam Thielen,WR,14
38, Robert Woods,WR,15
39, Kenny Golladay,WR,16
40, Stefon Diggs,WR,17
41,T.Y. Hilton,WR,18
42, Cooper Kupp,WR,19
43, Patrick Mahomes,QB,1
44, Melvin Gordon,RB,21
45, Mark Ingram II,RB,22
46, Tyler Lockett,WR,20
47, Mike Williams,WR,21
48, Chris Godwin,WR,22
49, Alshon Jeffery,WR,23
50, DJ Moore,WR,24
51, Allen Robinson,WR,25
52, Josh Gordon,WR,26
53, Calvin Ridley,WR,27
54, Tyler Boyd,WR,28
55, Robby Anderson,WR,29
56, Sammy Watkins,WR,30
57, Marlon Mack,RB,23
58, Phillip Lindsay,RB,24
59, Derrius Guice,RB,25
60, Duke Johnson Jr,RB,26
61, James White,RB,27
62, Tevin Coleman,RB,28
63, Miles Sanders,RB,29
64, Kenyan Drake,RB,30
65,O.J. Howard,TE,4
66, Evan Engram,TE,5
67, Hunter Henry,TE,6
68, Jared Cook,TE,7
69, Devin Singletary,RB,31
70, Damien Williams,RB,32
71, Deshaun Watson,QB,2
72, Matt Ryan,QB,3
73, Aaron Rodgers,QB,4
74, Sterling Shepard,WR,31
75,A.J. Green,WR,32
76, Jarvis Landry,WR,33
77, Marvin Jones Jr,WR,34
78, Christian Kirk,WR,35
79, Dede Westbrook,WR,36
80, Curtis Samuel,WR,37
81, Emmanuel Sanders,WR,38
82, Matt Breida,RB,33
83, Royce Freeman,RB,34
84, Austin Ekeler,RB,35
85, Rashaad Penny,RB,36
86, Latavius Murray,RB,37
87, Cam Newton,QB,5
88, Baker Mayfield,QB,6
89, Carson Wentz,QB,7
90, Dak Prescott,QB,8
91, Corey Davis,WR,39
92, Courtland Sutton,WR,40
93, Michael Gallup,WR,41
94, Jamison Crowder,WR,42
95, James Washington,WR,43
96, Will Fuller V,WR,44
97, Dante Pettis,WR,45
98, Marquez Valdes-Scantling,WR,46
99, Vance McDonald,TE,8
100, Jordan Howard,RB,38
